"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Wed Apr 08 16:08:15 +0000 2015","585836563017371600","Sign-up at http://t.co/eTRTo7hwV4 and use coupon code: DEADSERIOUS and GET your 25% OFF!!! 
#webhosting #hostgator #coupon","1350801078","Brayan Alexander ","BrayantlvXd","","0","28","Sun Apr 14 03:00:45 +0000 2013","null","C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png","null","null","null"
"Wed Apr 08 16:08:15 +0000 2015","585836564204359700","RT @BanterSanta_: FAV IF YOU THINK THESE ARE DOPE!

BUY THESE AND MORE FROM http://t.co/5VOaBllWCC

USE PROMO CODE "FRESH" FOR $10 OFF! htt…","3127436969","Og_Chelle","Michelleeeeee8","","134","360","Sun Mar 29 20:30:41 +0000 2015","null","C0DEED","http://pbs.twimg.com/profile_images/583616641390538752/QERrQUIo_normal.jpg","null","null","null"
"Wed Apr 08 16:08:16 +0000 2015","585836566142025700","Donnez votre avis sur les fiches vendeurs du site @GoCleCd et tenter de gagner une clé #GTA5 CD key! https://t.co/3VFNLnD8jp","604343677","Gabriel Visram","gabrielvis8","","197","248","Sun Jun 10 08:45:27 +0000 2012","Arizona","000000","http://pbs.twimg.com/profile_images/522071749169410049/WYr5Vxen_normal.jpeg","null","null","null"
"Wed Apr 08 16:08:16 +0000 2015","585836566976733200","RT @TheUnusualFact: Get a free Redbox movie: type in "dvdonme" when it asks for a promo code! At Walgreens, type in "dvdatwag" for a second…","580563403","Robbie Vandaver ","CaptainRob12","","231","153","Tue May 15 05:05:24 +0000 2012","Central Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/510801530484969472/PTbUK1I3_normal.jpeg","null","null","null"
"Wed Apr 08 16:08:16 +0000 2015","585836567152828400","@Bishwas2011 Bro Plz Join My IPL fantasy League ♥ L.O.V.S ♥ , League Code =►2402◄= [ 1900+ Members Already ] Thanks in Advance :)","1962970436","musheer hussain","musheerhussain6","","26","210","Tue Oct 15 16:22:48 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/524162243575816193/39itxIxX_normal.jpeg","null","null","null"
"Wed Apr 08 16:08:17 +0000 2015","585836570378379300","RT @MerryEmilie: J'me rappelle plus du code de mon iPod..","628304509","°","gustauw","","257","96","Fri Jul 06 11:37:57 +0000 2012","Paris","000000","http://pbs.twimg.com/profile_images/534436643605053441/49Pe8m3y_normal.jpeg","null","null","null"
"Wed Apr 08 16:08:18 +0000 2015","585836574920683500","Embed code not available

null http://t.co/TYsIAAcvNB April 09, 2015 at 12:53AM","3120975103","レザシナ","RZCNA","","41","9","Tue Mar 31 16:56:49 +0000 2015","Hawaii","C0DEED","http://pbs.twimg.com/profile_images/582951465414578176/U7ptOXzX_normal.jpg","null","null","null"
"Wed Apr 08 16:08:19 +0000 2015","585836577965809700","RT @TheUnusualFact: Get a free Redbox movie: type in "dvdonme" when it asks for a promo code! At Walgreens, type in "dvdatwag" for a second…","2767449408","Angie Salazar","angiesalazar127","","125","312","Mon Aug 25 18:53:45 +0000 2014","null","C0DEED","http://pbs.twimg.com/profile_images/504019449037340672/5AcqTLg0_normal.jpeg","null","null","null"
"Wed Apr 08 16:08:19 +0000 2015","585836578984964100","Never Broke The Code Or Told I'll Die Before They Take My Stripes 🙏","857084864","Jizzle","JizzleCain","","640","700","Mon Oct 01 21:58:50 +0000 2012","null","C0DEED","http://pbs.twimg.com/profile_images/585364785874632704/9fipgvuC_normal.jpg","null","null","null"
"Wed Apr 08 16:08:19 +0000 2015","585836581375717400","@sumitsingal0210 Bro Plz Join My IPL fantasy League ♥ L.O.V.S ♥ , League Code =►2402◄= [ 1900+ Members Already ] Thanks in Advance :)","1962970436","musheer hussain","musheerhussain6","","26","210","Tue Oct 15 16:22:48 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/524162243575816193/39itxIxX_normal.jpeg","null","null","null"
